#	MAC地址			  设备名称
74:ac:b9:a2:eb:91		路由器
68:f7:28:04:a6:77		wiselile笔记本
04:cf:8c:46:c3:ab		小米净水器
c0:4a:09:27:81:46		二楼AP1
c0:4a:09:27:83:46		餐厅AP2
c0:4a:09:27:7c:f2		客厅AP3
c0:4a:09:29:3d:00		老人房AP4
04:fa:83:f3:62:5b		海尔冰箱
44:23:7c:54:15:27		二楼空气净化器
0c:1d:af:c9:6c:95		MI4
a8:9c:ed:8c:a8:0a		MI9
d0:ff:98:59:f0:2d		HUAWEI_Mate_9
00:0c:e8:c3:6e:6c		入户摄像头
24:df:a7:9b:73:06		二楼柜机空调
62:18:c4:12:c8:a4		iPhone11
94:db:56:92:20:7d		索尼电视机
